"Crime Score"
"GeoPoint|37.7884368260567|-122.414368110368" 8.22140877087695
"GeoPoint|37.7229041567607|-122.398034500753" 14.3622945157239
"GeoPoint|37.7863922340602|-122.438394869495" 10.1283426252049
"GeoPoint|37.7851513851678|-122.426449161534" 7.91261195723681
"GeoPoint|37.8082613305439|-122.414988252591" 8.56022198760196
"GeoPoint|37.7940204426882|-122.402936610374" 7.97020585298351
"GeoPoint|37.7884982866148|-122.406775392392" 8.07888007910188
"GeoPoint|37.7975048898339|-122.402042584193" 9.58309097616416
"GeoPoint|37.738741839511|-122.389310644607" 5.83193791218584
"GeoPoint|37.7889857451928|-122.406867519472" 8.05766471396966
"GeoPoint|37.7560038618907|-122.444203110408" 9.80589281200928
"GeoPoint|37.7875673013055|-122.406592269796" 8.05272912936119
"GeoPoint|37.7720549755537|-122.431289969136" 8.45535565068597
"GeoPoint|37.7869881885308|-122.410699657634" 8.47247655197439
"GeoPoint|37.7743792347808|-122.390753273663" 7.93373009283514
"GeoPoint|37.775420706711|-122.403404791479" 7.96592997739214
"GeoPoint|37.7836201224351|-122.422654162984" 9.15485213853014
"GeoPoint|37.8042568095058|-122.402038998271" 8.91287320348532
"GeoPoint|37.750241057883|-122.446432100907" 8.62575690479359
"GeoPoint|37.7750203945871|-122.42260112019" 8.97277507034144
"GeoPoint|37.7886936920129|-122.405222821755" 7.40705236123431
"GeoPoint|37.7727368789292|-122.448347056211" 9.13146525519759
"GeoPoint|37.7823263368922|-122.418192861208" 8.24597960041033
"GeoPoint|37.7178681219403|-122.472711742243" 7.60311502983101
"GeoPoint|37.8078519838014|-122.418270696719" 8.7343105051475
"GeoPoint|37.7871160984672|-122.403919148357" 8.4013630512549
"GeoPoint|37.7708917848848|-122.489804747862" 8.21225514232376
"GeoPoint|37.7661073531609|-122.428282992711" 8.73035731963838
"GeoPoint|37.789918101686|-122.406977563692" 8.75315427860347
"GeoPoint|37.7543968656925|-122.493752455456" 6.72634773760484
"GeoPoint|37.7611418813327|-122.431710082584" 7.52918208336468
"GeoPoint|37.776975788523|-122.42968749628" 8.57397894459107
"GeoPoint|37.7875490095115|-122.421762501792" 8.52597373769022
"GeoPoint|37.7835100715421|-122.405395493939" 8.93984225935721
"GeoPoint|37.8046850499582|-122.413433201999" 9.16212534313276
"GeoPoint|37.7766597984985|-122.412160931881" 7.88707974619165
"GeoPoint|37.7680054163824|-122.424412715064" 7.75234102220415
"GeoPoint|37.8003406138473|-122.417589710606" 9.56267394099013
"GeoPoint|37.7769313104957|-122.426360535365" 9.45489722654005
"GeoPoint|37.7725405391593|-122.466204667893" 8.72281181712708
"GeoPoint|37.7844435964858|-122.427954885331" 8.55906086328387
"GeoPoint|37.7597348090272|-122.447055013255" 9.78414872233428
"GeoPoint|37.7771077210197|-122.42309400129" 8.76605542368635
"GeoPoint|37.7662014296859|-122.466504397113" 9.15842089292461
"GeoPoint|37.7762972389613|-122.431361636424" 9.21214817571251
"GeoPoint|37.7849443169969|-122.434733246333" 8.82521852980714
"GeoPoint|37.7364438996732|-122.394438859914" 9.41338868403618
"GeoPoint|37.775073326331|-122.511293798596" 8.85129009424852
"GeoPoint|37.7884486019705|-122.407612885387" 8.82749970764506
"GeoPoint|37.7883830183627|-122.404366570224" 8.41552854276922
"GeoPoint|37.7953124364807|-122.397977877257" 8.1679095060703
"GeoPoint|37.7801399018132|-122.483663577628" 8.2355029175149
"GeoPoint|37.788178697075|-122.4168291485" 7.69958218360354
"GeoPoint|37.7562166627216|-122.418891810986" 8.25550837724034
"GeoPoint|37.7849531241612|-122.427991151911" 8.89271991322529
"GeoPoint|37.7812344891521|-122.441340525823" 9.77831465709596
"GeoPoint|37.7294128620199|-122.394070665922" 4.66435391643795
"GeoPoint|37.7753157578409|-122.427727138394" 7.35833138162872
"GeoPoint|37.7368837969126|-122.389241311502" 9.14373344718031
"GeoPoint|37.7863086885804|-122.416452065595" 7.35362845352302
"GeoPoint|37.8096707013239|-122.365565425353" 8.40027660925463
"GeoPoint|37.7895283021427|-122.413731461593" 8.7782484815409
"GeoPoint|37.7882745285785|-122.406658711008" 9.31568150644058
"GeoPoint|37.7427030847405|-122.387927387609" 6.09980375097215
"GeoPoint|37.7563570227741|-122.393071223295" 7.87351101827963
"GeoPoint|37.7335671623152|-122.42814364018" 9.62321846752747
"GeoPoint|37.8024103177266|-122.416327623844" 8.59143692709822
"GeoPoint|37.7234814213797|-122.4068026167" 8.1976275530521
"GeoPoint|37.798730428122|-122.417199752523" 9.78414872233428
"GeoPoint|37.724950248764|-122.461208520613" 9.48675533447966
"GeoPoint|37.7843533426568|-122.432914603494" 8.56660636611385
"GeoPoint|37.7899200014841|-122.422062730264" 8.17419223839539
"GeoPoint|37.7802227066368|-122.481516526312" 6.94162043478743
"GeoPoint|37.7911972507673|-122.40768078831" 7.7781829503031
"GeoPoint|37.7808219708329|-122.422090267887" 7.75259663047815
"GeoPoint|37.7734052631424|-122.506818965003" 9.56793480121802
"GeoPoint|37.7864562307955|-122.430791511808" 8.94422148300249
"GeoPoint|37.8019715280364|-122.440578594925" 6.54778091298077
"GeoPoint|37.8033467206612|-122.416514507406" 8.2715340069096
"GeoPoint|37.7702619702403|-122.444502333693" 6.68033027990776
"GeoPoint|37.7886989511647|-122.420307355721" 7.86707782604744
"GeoPoint|37.8054165242789|-122.415245418291" 8.79493088716093
"GeoPoint|37.80476375718|-122.405178220847" 8.64489158061582
"GeoPoint|37.803964400901|-122.440624097021" 8.23696443250942
